obj_num,RA,DEC,objectId,refBand,refExtendedness,detect_fromBlend,detect_isIsolated,parentObjectId,u_cModelMag,u_psfMag,u_psf_minus_cModel,u_extendedness,u_blendedness,g_cModelMag,g_psfMag,g_psf_minus_cModel,g_extendedness,g_blendedness,r_cModelMag,r_psfMag,r_psf_minus_cModel,r_extendedness,r_blendedness,i_cModelMag,i_psfMag,i_psf_minus_cModel,i_extendedness,i_blendedness,z_cModelMag,z_psfMag,z_psf_minus_cModel,z_extendedness,z_blendedness,y_cModelMag,y_psfMag,y_psf_minus_cModel,y_extendedness,y_blendedness,hst_id,hst_label,hst_sep_arcsec,hst_acs_mu_class,hst_flag_combined
31,149.8841384668996,2.4019463723472922,788014967105279628,i,1.0,True,False,788014967105257685,24.889968357463516,24.889124177097443,-0.0008441803660730329,,-0.727016806602478,23.021146395057283,23.085189490906444,0.06404309584916135,1.0,-21.03845977783203,21.702278159637235,21.767323391241405,0.06504523160417008,1.0,-58.18135070800781,20.867474091016568,20.96150461599362,0.09403052497705033,1.0,-103.564208984375,20.461298302778697,20.536769134171085,0.07547083139238708,1.0,-58.08052444458008,20.173389751224832,20.248576418709746,0.07518666748491398,1.0,-22.566286087036133,325306,0,0.059556634508201894,2,0
32,149.66878620329567,1.9540097247205102,788012974240457689,i,1.0,True,False,788012974240433799,25.17916747492081,25.218248338691474,0.03908086377066411,0.0,-0.8078432679176331,22.266114223134355,22.334650265360473,0.06853604222611764,1.0,-62.509307861328125,20.83962714919076,20.902931237303,0.06330408811223975,1.0,-136.5470733642578,19.69027214910738,19.771766719529857,0.08149457042247832,1.0,-311.59222412109375,19.171465966313047,19.236625876908995,0.06515991059594839,1.0,-185.0919952392578,18.927621053943888,19.00690943480653,0.07928838086264278,1.0,-103.82810974121094,948017,0,0.08704907014409058,2,1
33,150.6204293478351,1.9014162405966262,788012561923594764,i,1.0,True,False,788012561923571769,23.245933030862396,23.294242626517526,0.048309595655130266,1.0,-8.479776382446289,22.317812429802252,22.382400778236004,0.06458834843375172,1.0,-58.520538330078125,21.879714169027093,21.94232290501006,0.06260873598296612,1.0,-59.9090576171875,21.675911172283918,21.757089863769064,0.081178691485146,1.0,-58.823360443115234,21.59821478362672,21.668515516271015,0.07030073264429504,1.0,-24.82769012451172,21.60199490222739,21.67198475904398,0.06998985681659065,1.0,-7.0544562339782715,76560,0,0.037561301931694276,2,0
34,150.66093363158473,1.975345385825413,788012561923598965,i,1.0,True,False,788012561923573761,21.97211823451522,22.020050979975995,0.04793274546077342,0.0,-35.10517501831055,21.62442697807719,21.6865183974777,0.06209141940050955,1.0,-127.85580444335938,21.43741011445953,21.496980553256922,0.059570438797390324,1.0,-101.2568359375,21.314379912780744,21.41286287666761,0.09848296388686606,1.0,-72.01311492919922,21.12461705539849,21.212445921695853,0.08782886629736097,1.0,-41.74382781982422,20.812903962246075,20.89259670440947,0.07969274216339528,1.0,-14.515421867370605,246222,0,0.01242937057356496,2,0
35,149.5339586090465,2.62640160453761,788015791739003226,i,1.0,True,False,788015791738980016,23.18924191860262,23.236933378420407,0.047691459817787774,1.0,-8.182826042175293,21.922603103695103,21.978120836011065,0.055517732315962576,1.0,-81.73148345947266,21.320567373296214,21.379784528068924,0.0592171547727105,1.0,-91.51802825927734,21.054896434983796,21.132094530663636,0.07719809567984015,1.0,-98.98591613769531,20.962583347404422,21.024860501643293,0.06227715423887048,1.0,-38.12599563598633,20.87950992585774,20.948121636566015,0.0686117107082751,1.0,-11.655780792236328,909640,0,0.0641970981776153,2,1
36,150.5113993316584,2.850762342124666,788016066616915594,i,1.0,True,False,788016066616888532,21.781116322256985,21.82451091072401,0.04339458846702371,0.0,-40.17876434326172,21.703242248062583,21.76010762194833,0.05686537388574564,1.0,-97.33956909179688,21.67193490626394,21.727861326677516,0.055926420413577205,1.0,-68.76350402832031,21.606533840227442,21.719234510090054,0.11270066986261185,1.0,-44.221492767333984,21.58422893603617,21.680755010789273,0.09652607475310404,1.0,-20.56703758239746,21.527141675002472,21.617327837871983,0.09018616286951087,1.0,-4.8174729347229,704896,0,0.2515391546724575,2,1
37,150.71646793559668,2.6933418126920166,788015310702670864,i,1.0,True,False,788015310702644532,26.491910602921187,26.534854603744886,0.04294400082369876,1.0,0.9053378105163574,23.05740118695568,23.11428053300172,0.05687934604603839,1.0,-23.541297912597656,21.844674177813246,21.9003055828084,0.055631404995153844,1.0,-52.81892395019531,20.642506459680284,20.715995244991287,0.07348878531100311,1.0,-141.0060577392578,20.08484765495354,20.145172446305708,0.06032479135216917,1.0,-97.43657684326172,19.837179467473966,19.883850608867014,0.04667114139304829,1.0,-33.30487060546875,746687,0,0.18071968144039796,2,0
38,150.5566216139118,2.5843952535979926,788015379422140658,i,1.0,True,False,788015379422118459,24.110681106623705,24.14127327294306,0.03059216631935513,,-2.5721731185913086,22.736806250851856,22.7987693560757,0.06196310522384252,1.0,-32.8252067565918,21.52844258275573,21.583729896801778,0.0552873140460477,1.0,-59.87773132324219,20.654968286929932,20.738417227489872,0.0834489405599399,1.0,-154.4219207763672,20.215989154934604,20.2861603676461,0.07017121271149662,1.0,-97.84431457519531,20.028154338431527,20.092921895691298,0.06476755725977057,1.0,-24.9975528717041,639051,0,0.054032281043623925,2,1
39,150.0585489484883,2.730342459518847,788015585580580956,i,1.0,True,False,788015585580552377,22.55743142775244,22.60055999686604,0.0431285691135983,1.0,-17.168174743652344,22.251956786150274,22.319556934454774,0.0676001483044999,1.0,-53.46556854248047,21.954063157023956,22.007963515443407,0.05390035841945107,1.0,-50.251922607421875,21.77211034522449,21.86179751765011,0.08968717242562008,1.0,-44.23540496826172,21.419891242439704,21.49288174706636,0.0729905046266559,1.0,-28.37404441833496,21.2254979938697,21.299272650168106,0.07377465629840785,1.0,-9.089274406433105,291149,0,0.013920737643266018,2,1
40,150.72362309773433,2.5572654259493297,788014623507905012,i,1.0,True,False,788014623507877947,24.900755129474536,24.94575073065834,0.0449956011838033,1.0,-2.043104648590088,22.266505939032932,22.310869912186472,0.04436397315354057,1.0,-49.1974983215332,20.930167177612258,20.98258179042655,0.05241461281429238,1.0,-121.02610778808594,20.09097991066498,20.168547305256478,0.07756739459149742,1.0,-236.81130981445312,19.70430206905306,19.772137397641895,0.0678353285888349,1.0,-216.34559631347656,19.50836917547115,19.570039458532264,0.06167028306111533,1.0,-43.90262985229492,28608,0,0.06651897904971249,2,1
41,149.90559163452897,1.9006563193522639,788012905520979592,i,1.0,True,False,788012905520955668,22.21230682651213,22.24688003510437,0.03457320859223856,1.0,-24.1573486328125,21.336051265700366,21.392906350118164,0.05685508441779774,1.0,-153.61109924316406,20.926287306667547,20.978029366061712,0.051742059394165096,1.0,-146.26136779785156,20.774127398688144,20.8476052772326,0.07347787854445542,1.0,-138.8986053466797,20.71027844235924,20.767861973032538,0.057583530673298355,1.0,-43.96284866333008,20.670192792702004,20.73307148004031,0.06287868733830493,1.0,-17.28719139099121,356686,0,0.016870453134869814,2,0
